instrument,technique,dynamic,note,quantity,value,collection,ewsd_primary_analysis_eligible,source_workbook
vln,natural_harmonic,p,G5,EWSD_score_acoustic_balanced,19.74188643597765,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_p_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,p,B5,EWSD_score_acoustic_balanced,22.69418897048714,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_p_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,p,C#6,EWSD_score_acoustic_balanced,39.54385745056231,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_p_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,p,D6,EWSD_score_acoustic_balanced,37.9601586127062,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_p_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,p,F6,EWSD_score_acoustic_balanced,13.35551935302677,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_p_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,p,F#6,EWSD_score_acoustic_balanced,15.42845227126676,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_p_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,p,G6,EWSD_score_acoustic_balanced,16.53865691454265,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_p_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,p,G#6,EWSD_score_acoustic_balanced,25.98016372994967,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_p_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,p,A6,EWSD_score_acoustic_balanced,12.71289241432103,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_p_wav\compiled_density_metrics_research.xlsx
